data,variavel,valor
1996-04-01,Monitorados,3.87
1996-04-01,Não comercializáveis,1.23
1996-04-01,Não-duráveis,0.45
1996-04-01,Semi-duráveis,0.64
1996-04-01,Serviços,1.4
1996-05-01,Comercializáveis,1.06
1996-05-01,Duráveis,0.29
1996-05-01,Livres,1.35
1996-05-01,Monitorados,0.44
1996-05-01,Não comercializáveis,1.62
1996-05-01,Não-duráveis,0.92
1996-05-01,Semi-duráveis,1.04
1996-05-01,Serviços,2.21
1996-06-01,Comercializáveis,0.69
1996-06-01,Duráveis,0.23
1996-06-01,Livres,0.9
1996-06-01,Monitorados,3.02
1996-06-01,Não comercializáveis,1.1
1996-06-01,Não-duráveis,0.65
1996-06-01,Semi-duráveis,0.4
1996-06-01,Serviços,1.54
1996-07-01,Comercializáveis,0.65
1996-07-01,Duráveis,0.6
1996-07-01,Livres,0.87
1996-07-01,Monitorados,2.58
1996-07-01,Não comercializáveis,1.08
1996-07-01,Não-duráveis,0.78
1996-07-01,Semi-duráveis,-0.03
1996-07-01,Serviços,1.41
1996-08-01,Comercializáveis,-0.14
1996-08-01,Duráveis,0.23
1996-08-01,Livres,0.31
1996-08-01,Monitorados,1.25
1996-08-01,Não comercializáveis,0.73
1996-08-01,Não-duráveis,-0.38
1996-08-01,Semi-duráveis,-0.63
1996-08-01,Serviços,1.43
1996-09-01,Comercializáveis,-0.44
1996-09-01,Duráveis,-0.1
1996-09-01,Livres,0.13
1996-09-01,Monitorados,0.24
1996-09-01,Não comercializáveis,0.67
1996-09-01,Não-duráveis,-0.44
1996-09-01,Semi-duráveis,-0.44
1996-09-01,Serviços,1.02
1996-10-01,Comercializáveis,0.36
1996-10-01,Duráveis,0.05
1996-10-01,Livres,0.32
1996-10-01,Monitorados,0.19
1996-10-01,Não comercializáveis,0.28
1996-10-01,Não-duráveis,0.1
1996-10-01,Semi-duráveis,0.3
1996-10-01,Serviços,0.62
1996-11-01,Comercializáveis,0.11
1996-11-01,Duráveis,0.42
1996-11-01,Livres,0.28
1996-11-01,Monitorados,0.53
1996-11-01,Não comercializáveis,0.45
1996-11-01,Não-duráveis,-0.24
1996-11-01,Semi-duráveis,0.15
1996-11-01,Serviços,0.83
1996-12-01,Comercializáveis,0.2
1996-12-01,Duráveis,0.28
1996-12-01,Livres,0.3
1996-12-01,Monitorados,1.49
1996-12-01,Não comercializáveis,0.39
1996-12-01,Não-duráveis,-0.17
1996-12-01,Semi-duráveis,0.39
1996-12-01,Serviços,0.73
1997-01-01,Comercializáveis,0.53
1997-01-01,Duráveis,0.88
1997-01-01,Livres,0.87
1997-01-01,Monitorados,3.01
1997-01-01,Não comercializáveis,1.18
1997-01-01,Não-duráveis,0.98
1997-01-01,Semi-duráveis,0.22
1997-01-01,Serviços,1.02
1997-02-01,Comercializáveis,0.03
1997-02-01,Duráveis,0.44
1997-02-01,Livres,0.54
1997-02-01,Monitorados,0.26
1997-02-01,Não comercializáveis,1.01
1997-02-01,Não-duráveis,0.65
1997-02-01,Semi-duráveis,-0.77
1997-02-01,Serviços,0.99
1997-03-01,Comercializáveis,0.12
1997-03-01,Duráveis,0.12
1997-03-01,Livres,0.49
1997-03-01,Monitorados,0.62
1997-03-01,Não comercializáveis,0.83
1997-03-01,Não-duráveis,1.06
1997-03-01,Semi-duráveis,-0.56
1997-03-01,Serviços,0.45
1997-04-01,Comercializáveis,0.11
1997-04-01,Duráveis,0.14
1997-04-01,Livres,0.29
1997-04-01,Monitorados,4.27
1997-04-01,Não comercializáveis,0.46
1997-04-01,Não-duráveis,-0.02
1997-04-01,Semi-duráveis,0.05
1997-04-01,Serviços,0.73
1997-05-01,Comercializáveis,0.04
1997-05-01,Duráveis,-0.64
1997-05-01,Livres,0.18
1997-05-01,Monitorados,1.66
1997-05-01,Não comercializáveis,0.31
1997-05-01,Não-duráveis,-0.53
1997-05-01,Semi-duráveis,0.7
1997-05-01,Serviços,0.87
1997-06-01,Comercializáveis,0.09
1997-06-01,Duráveis,-0.41
1997-06-01,Livres,0.1
1997-06-01,Monitorados,2.97
1997-06-01,Não comercializáveis,0.1
1997-06-01,Não-duráveis,-0.19
1997-06-01,Semi-duráveis,-0.16
1997-06-01,Serviços,0.59
1997-07-01,Comercializáveis,0.17
1997-07-01,Duráveis,-0.48
1997-07-01,Livres,0.08
1997-07-01,Monitorados,0.97
1997-07-01,Não comercializáveis,-0.01
1997-07-01,Não-duráveis,-0.32
1997-07-01,Semi-duráveis,0.13
1997-07-01,Serviços,0.57
1997-08-01,Comercializáveis,-0.36
1997-08-01,Duráveis,0.04
1997-08-01,Livres,-0.14
1997-08-01,Monitorados,0.59
1997-08-01,Não comercializáveis,0.07
1997-08-01,Não-duráveis,-0.4
1997-08-01,Semi-duráveis,-0.96
1997-08-01,Serviços,0.39
1997-09-01,Comercializáveis,0.13
1997-09-01,Duráveis,-0.26
1997-09-01,Livres,0.01
1997-09-01,Monitorados,0.3
1997-09-01,Não comercializáveis,-0.08
1997-09-01,Não-duráveis,0.06
